"Table									  "	Column name          	Description                             	Datatype   	Length  	isNull	
OBSERVATIONS	O_SHEET_STATE                     	Sheet erosion state p135                              	VARCHAR    	1	NULL	
OBSERVATIONS	O_SHEET_DEG                       	Sheet erosion degree p135                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_WAVE_STATE                      	Wave erosion state p137                               	VARCHAR    	1	NULL	
OBSERVATIONS	O_WAVE_DEG                        	Wave erosion degree p137                              	VARCHAR    	1	NULL	
OBSERVATIONS	O_RILL_STATE                      	Rill erosion state p136                               	VARCHAR    	1	NULL	
OBSERVATIONS	O_RILL_DEG                        	Rill erosion degree p136                              	VARCHAR    	1	NULL	
OBSERVATIONS	O_MASS_STATE                      	Mass movement erosion state                           	VARCHAR    	1	NULL	
OBSERVATIONS	O_MASS_DEG                        	Mass movement erosion degree                          	VARCHAR    	1	NULL	
OBSERVATIONS	O_GULLY_STATE                     	Gully erosion state p137                              	VARCHAR    	1	NULL	
OBSERVATIONS	O_GULLY_DEG                       	Gully erosion degree p137                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_STBANK_STATE                    	Stream bank erosion state                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_STBANK_DEG                      	Stream bank erosion degree                            	VARCHAR    	1	NULL	
OBSERVATIONS	O_TUNNEL_STATE                    	Tunnel erosion state p137                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_TUNNEL_DEG                      	Tunnel erosion degree                                 	VARCHAR    	1	NULL	
OBSERVATIONS	O_OTHER_ER_STATE                  	"Other erosion state, p134                             "	VARCHAR    	1	NULL	
OBSERVATIONS	O_OTHER_ER_DEG                    	"Other erosion degree, p134                            "	VARCHAR    	1	NULL	
OBSERVATIONS	O_OTHER_ER_TYPE                   	"Other erosion type, free text                         "	VARCHAR    	30	NULL	
OBSERVATIONS	O_GULLY_DEPTH                     	Gully depth p137                                      	VARCHAR    	1	NULL	
OBSERVATIONS	O_AGGRADATION                     	Aggradation p138                                      	VARCHAR    	1	NULL	
OBSERVATIONS	O_INUND_FREQ                      	Inundation frequency p138                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_INUND_DUR                       	Inundation duration (annual)                          	VARCHAR    	1	NULL	
OBSERVATIONS	O_INUND_DEPTH                     	Inundation depth (annual)                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_INUND_RUNON_VEL                 	Inundation runon velocity                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_DEPTH_WATER                     	Depth to free water (m)                               	FLOAT      	         	NULL	
OBSERVATIONS	O_DEPTH_WATER_PREF                	Depth to free water prefix:                           	VARCHAR    	1	NULL	
OBSERVATIONS	O_DEPTH_RHORIZON_PF               	Depth to R horizon prefix                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_DEPTH_RHORIZON                  	Depth to R horizon or strongly cemented pan           	FLOAT      	         	NULL	
OBSERVATIONS	O_RUNOFF                          	Runoff p144                                           	VARCHAR    	1	NULL	
OBSERVATIONS	O_PERMEABILITY                    	Permeability p200                                     	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_OBS_TYPE                     	Substrate type of observation                         	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_DISTANCE                     	Substrate distance (m)                                	FLOAT      	         	NULL	
OBSERVATIONS	O_SB_CONFIDENCE                   	Substrate confidence p206                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_DEPTH_PF                     	Substrate depth prefix                                	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_DEPTH                        	Substrate depth (m) p206                              	FLOAT      	         	NULL	
OBSERVATIONS	O_SB_GRAIN_SIZE                   	Substrate grain size p206                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_TEXTURE                      	Substrate texture p207                                	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_STRUCTURE                    	Substrate structure p207                              	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_POROSITY                     	Substrate porosity p208                               	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_STRENGTH                     	Substrate strength p209                               	VARCHAR    	2	NULL	
OBSERVATIONS	O_SB_LITH                         	Substrate lithology p209                              	VARCHAR    	2	NULL	
OBSERVATIONS	O_SB_MASS_SPAC_DIS                	Substrate mass spacing of discontinuities             	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_MASS_ALT                     	Substrate mass alteration                             	VARCHAR    	1	NULL	
OBSERVATIONS	O_SB_MASS_STRENGTH                	Substrate mass strength                               	VARCHAR    	2	NULL	
OBSERVATIONS	O_SB_MASS_GEN_TYPE                	Substrate mass genetic type                           	VARCHAR    	2	NULL	
OBSERVATIONS	O_SUBSTRATE_NOTES                 	Free text substrate notes                             	VARCHAR    	240	NULL	
OBSERVATIONS	O_PPF                             	Principal profile form                                	VARCHAR    	9	NULL	
OBSERVATIONS	O_GSG                             	Great soil group                                      	VARCHAR    	3	NULL	
OBSERVATIONS	O_ASC_TECH_REF                    	Aust soil classification technical reference          	VARCHAR    	1	NULL	
OBSERVATIONS	O_ASC_CONF                        	Aust soil classification confidence                   	VARCHAR    	1	NULL	
OBSERVATIONS	O_ASC_ORD                         	Aust soil classification order                        	VARCHAR    	2	NULL	
OBSERVATIONS	O_ASC_SUBORD                      	Aust soil classification suborder                     	VARCHAR    	2	NULL	
OBSERVATIONS	O_ASC_GG                          	Aust soil classification great soil group             	VARCHAR    	2	NULL	
OBSERVATIONS	O_ASC_SUBG                        	Aust soil classification subgroup                     	VARCHAR    	2	NULL	
OBSERVATIONS	O_ASC_FAM1                        	Aust soil classification family 1 -  likely to be horizon thickness 	VARCHAR  	1	NULL	
OBSERVATIONS	O_ASC_FAM2                        	Aust soil classification family 2 -  likely to be gravel content      	VARCHAR  	1	NULL	
OBSERVATIONS	O_ASC_FAM3                        	Aust soil classification family 3 - likely to be A1 texture	VARCHAR  	1	NULL	
OBSERVATIONS	O_ASC_FAM4                        	Aust soil classification family 4 - likely to be B texture	VARCHAR  	1	NULL	
OBSERVATIONS	O_ASC_FAM5                        	Aust soil classification family 5 - likely to be soil depth	VARCHAR  	1	NULL	
